Item code,Solid code,Product Description
182-199500(71-04),09-080-000,BT Disney leggings I
182-199500(71-04),00-006-000,BT Disney leggings I
221-193933(71-31),I049,W'S SLIM BOYFRIEND FIT ANKLE LENGTH JEANS (CUT OFF)
251-185161(72-06),02-004-000,W's oversized V neck S/S sweater
271-186568(71-02),09-006-000,W's wireless bra (beauty soft)
271-186568(71-02),09-005-000,W's wireless bra (ugly hard)
331-102182(71-94),69-005-000,Oxford slim fit long sleeve shit +EC
331-172926(69-16),68-006-000,Oxford slim fit long sleeve shirt
331-192182(71-04),68-005-000,Oxford slim fit long sleeve shit +EC
331-193871(72-05),I003,Dry easy care striped short sleeve shirt
331-193871(72-05),I002,Dry easy care striped short sleeve shirt
341-172339(64-03),09-006-000,Soft touch V neck L/S T-shirt
341-172340(64-24),30-005-000,Soft touch crew neck L/S T-shirt
341-172349(63-23),30-004-000,Sweat L/S full-zip hooded
341-172351(64-08),04-006-000,Pile lined Sweat L/S full-zip hooded
341-180711(71-06),08-006-000,Dry stretch sweat full-zip L/S hoodie
341-180714(71-13),69-003-000,AIRism full-zip hoodie
341-180714(71-13),60-003-000,AIRism half-zip hoodie
341-190238(72-18),17-006-000,Dry EX V neck S/S T-shirt
341-190238(72-18),17-005-000,Dry EX V neck S/S T-shirt
341-190238(72-22),R007,Dry EX V neck S/S T-shirt
341-190240(72-24),55-005-000,Dry EX crew neck S/S T-shirt
341-190240(72-24),55-006-000,Dry EX crew neck S/S T-shirt
341-190240(72-24),55-004-000,Dry EX crew neck S/S T-shirt
371-102513(71-85),69-004-000,SUPIMA COTTON boxer briefs (LR)
371-177291(63-05),16-005-000,Woven ckecked trunks C
371-182504(72-17),09-005-000,AIRism low rise boxer briefs
371-182513(71-05),69-004-000,SUPIMA COTTON boxer briefs (LR)
371-182518(79-02),00-003-000,COTTON V neck rib S/S T-shirt4P
371-191013(71-10),12-004-000,Woven light oxford trunks
372-184486(71-05),03-004-000,SWEAT SET L/S A
372-184486(71-05),02-009-000,SWEAT SET S/S B
372-194181(72-03),36-004-000,STETECO shorts B
